Pop1,Pop2,Model,MeanN1,MedianN1,MinN1,MaxN1,MeanN2,MedianN2,MinN2,MaxN2,MeanTS,MedianTs,MinTs,MaxTs,MeanTsc,MedianTsc,MinTsc,MaxTsc,MeanM21,MedianM21,MinM21,MaxM21,MeanM12,MedianM12,MinM12,MaxM12,MeanMi21,MedianMi21,MinMi21,MaxMi21,MeanMi12,MedianMi12,MinMi12,MaxMi12,MeanP,MedianP,MinP,MaxP,TotM21,TotM12,TotMi21,TotMi12
Choy,Molino,IM2M,355608.93697902,319869.809373,274440.614526,773117.240448,5029.223579606,4791.983180925,3447.22019626,9859.97335755,276145.12669188,235607.6578685,109455.105628,1352073.87258,NA,NA,NA,NA,1.98955234451641e-05,1.51030557274e-05,2.59274275805e-35,5.65228825632e-05,3.66343486167197e-05,3.68782811041e-05,3.39752919229e-32,0.000129434114452,2.9485759554722e-06,2.13500298467e-07,4.36235978837e-39,1.83668067914e-05,6.58806450339059e-06,1.472476458415e-06,8.3776657961e-135,2.22934000661e-05,0.43885126772736,0.4133709670655,0.120575747693,0.771423257565,4.83101155647323,0.176720102792271,0.0682922997717179,0.00705608242303269
Choy,Molino,SC2M,359779.07265038,313486.998669,272983.96223,706222.186384,6159.7335784282,5859.42959665,1803.13632782,16534.4040118,135110.987481857,91269.5123112,4.69086531143e-120,1031509.64332,122168.327951369,71267.6124016,9.56248423745e-84,2061383.37722,3.24872309829619e-05,1.412349411115e-05,2.18883670139e-154,9.802825259e-05,4.09144754734705e-05,2.607594148155e-05,1.30532307749e-87,0.000129650775741,3.24391617433783e-06,3.424801714145e-07,6.50180381437e-21,2.391711648e-05,3.07759753357181e-06,1.296383808995e-06,5.47723698638e-150,2.16980666107e-05,0.42839118885936,0.4921482030765,0.108227093641,0.763056692594,4.42753177962371,0.152790143277508,0.107363081040376,0.00759606965904316
Choy,Pachon,SC2M,269844.83542898,259027.0835205,237157.718366,390780.177325,8928.5870484026,7569.01687695,3052.03948912,20073.4922163,323128.965688463,174483.3937075,0.122825976688,5894386.5876,64823.0639113002,6689.938575185,6.32268551723e-42,1944140.96748,5.46318505911646e-05,2.462060393035e-06,2.26020375221e-51,0.000183293889261,3.99786420874983e-05,1.943929410795e-05,1.04544308072e-15,0.000149211466391,1.4463412213698e-06,1.0023178194935e-07,1.18069532769e-15,4.6464662522e-05,1.01009251177129e-05,8.71983398362e-06,1.21702390545e-71,2.3779777608e-05,0.387684084613276,0.247242994336,0.0500064375971,0.949713254793,0.637740323059192,0.147136345179068,0.0259627461544028,0.0660005705862219
Choy,Rascon,SC2M,245275.4870564,246385.1650175,219187.973077,255924.716435,140990.53887428,143964.007827,128892.736612,149418.367581,235749.805841202,241747.284403,7017.92200511,263583.675539,21030.1364903564,14927.9130473,8.37577394227e-21,274878.230283,7.0407042167586e-05,3.70309686144e-05,9.07857327116e-50,0.000163167506112,5.81712260091058e-05,8.05665263273e-06,8.07074280256e-110,0.000158638626694,3.03812318434112e-06,6.95656243651e-07,2.15073127071e-241,2.68942709615e-05,8.47297866721809e-07,5.9623365901e-10,7.19021175351e-50,1.54963987386e-05,0.226434930434358,0.1759423554985,0.0504338916509,0.822826027124,9.12388131281681,1.15986800267776,0.171399378387406,8.58361871524365e-05
Choy,Tinaja,SC2M,279371.18787808,256926.9692215,242356.901697,390611.385383,14647.834716772,12334.15942215,11144.6963875,27217.6765248,200800.976009326,182107.206511,2.32981995739e-28,497367.227444,55523.1854378161,24858.7125325,1.01201732297e-05,519169.969199,4.6496849042103e-05,1.4944140346535e-09,1.51061689721e-165,0.000138594028422,4.57869591779967e-05,8.23021678491e-06,3.20749917314e-87,0.000124931123303,2.44336824042944e-07,8.83399792822e-08,2.43540547471e-73,7.20900155698e-06,5.55972980237937e-06,4.37095750068e-06,3.73876765614e-72,2.44125296357e-05,0.299735991965254,0.31908997033,0.0503769799455,0.844619524164,0.000383955268685597,0.101512805903935,0.0226969231380657,0.0539120866408294
Molino,Pachon,SC2M,8355.827708071,7594.41083442,2287.2445139,17075.2103766,33561.441179496,32707.515918,18558.3782975,46023.7432481,265005.827493864,195724.025334,60.1852104989,641126.940979,89939.6210085968,30431.22682055,2.30738968418e-05,603939.017085,6.79970703679839e-05,3.525407257735e-06,0,0.00033168118818,4.94997925679703e-05,9.00572987575e-06,5.43632373765e-33,0.000162748248144,5.38699000740942e-06,7.58122853221e-07,8.71857890365e-42,0.000109287735317,3.64784470180933e-06,1.36661297017e-06,4.5080505233e-20,8.4138978822e-05,0.455956550014678,0.5118827211695,0.0565164984079,0.920457391607,0.0267733910738856,0.294555053264301,0.00575749641032297,0.0446985154755805
Molino,Rascon,IM2M,8597.7452769992,9147.99930838,5530.48665387,13854.2099221,304346.33897226,349698.760441,167366.32233,472040.643463,966658.40927948,1242574.49662,228667.135837,1799441.21498,NA,NA,NA,NA,3.18754628138729e-05,7.478786044e-06,6.61674590949e-26,0.000217837885877,1.3768048399132e-05,2.088714720755e-05,2.88891238123e-31,3.03177932461e-05,6.97651024623484e-06,6.04651160801e-07,2.38228644209e-29,3.86806012714e-05,2.13148038927511e-06,2.235258658865e-09,4.50855104879e-91,2.35078027894e-05,0.617546317450466,0.785493370549,0.0899658025007,0.833871702764,0.068415929558034,7.30420948762893,0.00553134840081871,0.000781667182270103
Molino,Rascon,SC2M,8096.5759798228,5974.29095209,3273.80386411,18661.9747095,234478.91960902,173042.485825,150710.716719,597166.070752,348445.535642622,210395.461222,6.94728042533e-20,1593512.08233,96952.338025533,27022.9403432,1.45915865827e-11,1044417.93352,7.7182177160447e-05,6.255532316275e-06,0,0.000216383187135,2.7031517863884e-05,1.289991214975e-07,3.58319285207e-246,0.000162717605719,7.44669681396168e-06,1.18297841817e-06,6.25817505592e-190,3.70405817663e-05,2.19415823920472e-07,5.57499752239e-09,1.86291937732e-49,6.60923164336e-06,0.44578443268413,0.4640476992415,0.0693349176739,0.888064846915,0.0373723701176283,0.0223223286531686,0.00706745726019077,0.000964711429742582
Molino,Tinaja,SC2M,8935.157082211,8161.168065365,5039.48508107,17463.4697838,32290.697798754,33554.20116995,15698.6614022,42453.0983438,154774.213125961,119176.811598,0.0769255267542,563918.371491,75144.9694862204,34819.372219,2.32760482925e-76,290501.912858,5.75354407571958e-05,3.458976595135e-05,5.9331555406e-53,0.000186755499982,6.85570022085026e-05,8.987719008285e-05,1.05307798732e-76,0.000228412198177,4.43312931249561e-06,5.65930000135e-07,9.22795811876e-93,0.000125436760813,3.07006999163315e-06,6.40839998059e-07,1.52813577726e-60,0.000114710838805,0.320720900958002,0.2964580573925,0.0994231575941,0.712720600614,0.282292893270607,3.01575731662978,0.00461864984433377,0.0215028742126221
Pachon,Rascon,IM2M,30626.28666441,30447.42424255,26435.0302351,40365.7672832,207190.38803404,225389.3344875,164948.781364,242602.351639,1226107.16262112,1239970.97583,140386.96338,11358780.1017,NA,NA,NA,NA,4.8183885297134e-05,9.77854511004e-07,9.20520586899e-16,0.000222100176921,2.30152850099144e-05,1.54123034998e-05,1.23737256993e-139,0.000198479896422,1.36768197834245e-06,1.49859430232e-06,1.1581968143e-188,2.24296436271e-06,9.48143625619325e-07,9.660889833505e-10,1.74946741487e-208,1.58440597856e-05,0.523257375508586,0.7706935950265,0.0587629022288,0.949003666932,0.0297731511440301,3.47376882873929,0.0456283364902053,0.000217746153013075
Pachon,Rascon,SC2M,32417.338430062,32006.01637235,26773.5368394,42066.8247677,186042.02394972,174975.200942,166834.164778,257132.243341,180132.641487862,148701.5716535,27574.9904891,655674.620675,39246.967737052,12560.35114015,8.05200006826e-14,644435.006866,4.75631621071018e-05,4.397135442065e-06,5.62898901646e-114,0.000212953326794,5.98882726952597e-05,2.45852530904e-07,2.41000724676e-112,0.000223934504194,4.26029747130729e-06,2.748633729695e-06,2.92345439512e-69,3.61941974152e-05,4.12663346929021e-07,1.337295101515e-09,8.0665881201e-231,1.0394678228e-05,0.368204844086904,0.3442055795835,0.0500083213319,0.948772761658,0.140734788950173,0.0430180959970267,0.0879728161542116,0.000233993479106339
Pachon,Tinaja,SC2M,33373.860417934,33637.8977172,28180.8517989,37974.6150778,30925.23687732,31476.7877426,25881.608287,37868.0566143,90133.3828803865,102245.0937425,0.000929523636795,261636.568881,30645.1397838336,13276.9389373,4358.04898528,137506.648949,0.000108821764936395,6.75995960057e-05,1.0335937476e-33,0.000243949749643,8.72985554649042e-05,6.167857714795e-06,1.021368783e-56,0.000243176433069,5.98341866442257e-06,1.72129684463e-06,7.7129461399e-34,0.00011159015164,3.53217966788738e-06,2.237625508255e-06,1.34556375081e-35,3.94328062788e-05,0.40548141801662,0.3997801750015,0.315854731721,0.628776599031,2.27390829616378,0.19414434811516,0.057900807200603,0.0704332631707701
Rascon,Tinaja,SC2M,218046.94282744,222893.0148715,189383.432278,247159.578278,30840.975595798,32217.08576205,24437.1942902,40160.5018822,170631.939829176,170279.243873,3.07024144201e-18,405938.71707,61670.4466639486,20370.3579201,1.95164719371e-70,399349.710096,8.19001423200017e-05,2.2362165271e-05,1.33459298644e-105,0.00020175565999,4.98408200951671e-05,8.15781295453e-06,0,0.000214992192348,2.05365432916447e-07,1.53611563095e-09,1.13057457609e-47,7.72172955492e-06,3.69079672886339e-06,1.68178336937e-06,5.98865551315e-175,3.72071344073e-05,0.36434740583612,0.3814108385345,0.109476823553,0.819655387519,4.98437043630794,0.262820959586856,0.000342389444173682,0.0541821590441827
